name,iata,icao,country
Aerocesar,,AEC,AEROCESAR
Aerotrans Airlines,,AED,Russia
Aegean Airlines,A3,AEE,Greece
Aerofumigaciones Sam,,AEG,Chile
Aeroexpreso Interamericano,,AEI,Colombia
Air Express,,AEJ,Tanzania
Aerocon,,AEK,Bolivia
Aero Madrid,,AEM,Spain
Aeroenlaces Nacionales,,AEN,Mexico
Aeroservicios Ejecutivos Del Occidente,,AEO,Mexico
Aerotec,,AEP,Spain
Air Atlantique,KI,AAG,United Kingdom
Air Europe,PE,AEL,Italy
Air Alma,,AAJ,Canada
Air Express,,AEQ,Sweden
Alaska Central Express,KO,AER,United States
ACES Colombia,,AES,Colombia
Aeronautical Radio of Thailand,,AET,Thailand
Astraeus,5W,AEU,United Kingdom
Aeroventas,,AEV,Mexico
Aerosvit Airlines,VV,AEW,Ukraine
Airway Express,,AEX,United States
Air Italy,I9,AEY,Italy
Aerial Transit Company,,AEZ,United States
Alfa Air,,AFA,Czech Republic
American Falcon,WK,AFB,Argentina
Alliance Airlines,QQ,UTY,Australia
Air Universal,,UVS,Sierra Leone
Auvia Air,,UVT,Indonesia
African West Air,,AFC,Senegal
Airfast Indonesia,,AFE,Indonesia
Ariana Afghan Airlines,FG,AFG,Afghanistan
Air Fecteau,,AFH,Canada
Africaone,,AFI,Uganda
Alliance,,AFJ,Uganda
Africa Air Links,,AFK,Sierra Leone
Aeroflot Russian Airlines,SU,AFL,Russia
Aero Empresa Mexicana,,AFO,Mexico
Air Bosna,JA,BON,Bosnia and Herzegovina
Air Bravo,,BRF,Uganda
Air Brasd'or,,BRL,Canada
Air 500,,BRM,Canada
Alba Servizi Aerotrasporti,,AFQ,Italy
Air France,AF,AFR,France
Air Partner,,ACG,United Kingdom
Air Caledonie International,SB,ACI,France
Air Caledonia,,ACM,Canada
Air Guam,,AGM,United States
Air Gabon,GN,AGN,Gabon
Air Data,,AFS,United Kingdom
Air Afrique Vacancies,,AFV,Ivory Coast
Air Cargo America,,MVM,United States
Air Salone,2O,,Sierra Leone
Air-Angol,,NGO,Angola
Air Nigeria,,NGP,Nigeria
Air Cargo Carriers,2Q,SNC,United States
Air Samarkand,,SND,Uzbekistan
Air Senegal International,V7,SNG,Senegal
Air Sandy,,SNY,Canada
Air Namibia,SW,NMB,Namibia
Air Intersalonika,,NSK,Greece
Air Anatolia,,NTL,Turkey
Air Saigon,,SGA,Vietnam
Afrique Regional Airways,,AFW,Ivory Coast
Airfreight Express,,AFX,United Kingdom
Africa Chartered Services,,AFY,Nigeria
Africa Freight Services,,AFZ,Zambia
Aeronaves Del Centro,,AGA,Venezuela
Air Service Gabon,G8,AGB,Gabon
Arab Agricultural Aviation Company,,AGC,Egypt
Atlantic Gulf Airlines,,AGF,United States
Aerolitoral,5D,SLI,Mexico
Algoma Airways,,AGG,Canada
Altagna,,AGH,France
Angola Air Charter,,AGO,Angola
Angola Air Charter,,AGO,Angola
AERFI Group,,AGP,Ireland
Aerogala,,AGQ,Chile
Amadeus Global Travel Distribution,1A,AGT,Spain
Angara Airlines,,AGU,Russia
Air Glaciers,7T,AGV,Switzerland
Aero Gambia,,AGW,Gambia
Aviogenex,,AGX,Serbia
Atlantic Coast Airlines,,BLR,United States
Aero Barloz,,BLZ,Mexico
Aeroper,PL,PLI,Peru
Atlas Blue,8A,BMM,Morocco
Aero Banobras,,BNB,Mexico
Aero Flight Service,,AGY,United States
Agrolet-Mci,,AGZ,Slovakia
Air Alpha Greenland,GD,AHA,Denmark
Azal Avia Cargo,,AHC,Azerbaijan
Airport Helicopter Basel,,AHE,AIRPORT HELICOPTER
Aeroservices Corporate,,CJE,France
Aspen Helicopters,,AHF,United States
Aerochago Airlines,,AHG,Dominican Republic
Airplanes Holdings,,AHH,Ireland
Air Hong Kong,LD,AHK,Hong Kong
Aerochiapas,,AHP,Mexico
Air Adriatic,,AHR,Croatia
Air Viggi San Raffaele,,AHS,Italy
ABC Air Hungary,,AHU,Hungary
Aeromist-Kharkiv,HT,AHW,Ukraine
Azerbaijan Airlines,J2,AHY,Azerbaijan
Avies,U3,AIA,Estonia
Airbus Industrie,AP,AIB,France
Alpine Air Chile,,AIH,Chile
Air Integra,,AII,Canada
ABC Aerolineas,,AIJ,Mexico
African Airlines International Limited,,AIK,Kenya
African International Airways,,AIN,Swaziland
Alpine Air Express,5A,AIP,United States
Alicante Internacional Airlines,,AIU,Spain
Aba Air,,ABP,Czech Republic
Airblue,ED,ABQ,Pakistan
Airmark Aviation,,THM,Thailand
Airlift International,,AIR,United States
Airest,,AIT,Estonia
Air Baffin,,BFF,Canada
Air Bandama,,BDM,Ivory Coast
Air Berlin,AB,BER,Germany
Air Brousse,,ABT,Canada
Air Contractors,AG,ABR,Ireland
Air Illinois,,AIL,United States
Air India Limited,AI,AIC,India
Air Inter Gabon,,AIG,Gabon
Air Bourbon,ZB,BUB,Reunion
Air Atlanta Icelandic,CC,ABD,Iceland
Air Inuit,,AIE,Canada
Air Sureste,,AIS,Spain
Air Srpska,RB,SBK,Bosnia and Herzegovina
Air Tahiti Nui,TN,THT,France
Airvias S/A Linhas Aereas,,AIV,Brazil
Aero Services Executive,W4,BES,France
Atlantic Island Airways,,AIW,Canada
Aircruising Australia,,AIX,Australia
Aircrew Check and Training Australia,,AIY,Australia
Arkia Israel Airlines,IZ,AIZ,Israel
A J Services,,AJA,United Kingdom
Aero JBR,,AJB,Mexico
Aero Jet Express,,AJE,Mexico
Avia Consult Flugbetriebs,,AJF,Austria
Ameristar Jet Charter,,AJI,United States
A2 Jet Leasing,,AJJ,United States
Allied Air,,AJK,Nigeria
Air Jamaica,JM,AJM,Jamaica
Air One,AP,ADH,Italy
Air Sahara,S2,RSH,India
Air Malta,KM,AMC,Malta
Aeroejecutivo,,AJO,Mexico
Aero Jets Corporativos,,AJP,Mexico
Aeroejecutivos Colombia,,AJS,Colombia
Amerijet International,M6,AJT,United States
Air Jetsul,,AJU,Portugal
ANA & JP Express,,AJV,Japan
Alpha Jet International,,AJW,United States
Air Japan,NQ,AJX,Japan
Ajet,,AJY,Cyprus
Air Korea Co. Ltd.,,AKA,Republic of Korea
Air Livonia,,LIV,Estonia
Air BC,,ABL,Canada
Air Fret Senegal,,ABN,Senegal
Air Jamahiriya Company,,LJA,Libya
Aktjubavia,,AKB,Kazakhstan
Arca Aerovias Colombianas Ltda.,,AKC,Colombia
Anikay Air Company,,AKF,Kyrgyzstan
Akhal,,AKH,Turkmenistan
Aeromilenio,,MNI,Mexico
Aklak Air,,AKK,Canada
Air Kiribati,4A,AKL,Kiribati
Alkan Air,,AKN,Canada
Angkor Airways,,AKW,Cambodia
Air Nippon Network Co. Ltd.,EH,AKX,Japan
AK Navigator LLC,,AKZ,Kazakhstan
Aero Albatros,,ALB,Mexico
Albion Aviation,,ALD,United Kingdom
Aeroalas Colombia,,ALE,Colombia
Allied Command Europe (Mobile Force),,ALF,Belgium
Aerotaxis Albatros,,BTS,Mexico
American Flyers,,FYS,United States
Aero Coach Aviation,,DFA,United States
Atlantic Southeast Airlines,,CAA,United States
ACM Air Charter,,BVR,Germany
Air Logistics,,ALG,United States
Aerovallarta,,ALL,Mexico
Air ALM,,ALM,Netherlands Antilles
Air Lincoln,,ALN,United States
America West Airlines,HP,AWE,United States
Air Wisconsin,ZW,AWI,United States
Aerotransporte de Carga Union,,TNO,Mexico
Aero Taxis Cessna,,TND,Mexico
Arizona Express Airlines,,TMP,United States
Tatarstan Airlines,U9,TAK,Russia
Allegheny Commuter Airlines,,ALO,United States
Alpliner AG,,ALP,Switzerland
Altair Aviation (1986),,ALQ,Canada
Air Luxor STP,,ALU,Sao Tome and Principe
Alas de Venezuela,,ALV,Venezuela
Alas Nacionales,,ALW,ALNACIONAL
Alyeska Air Service,,ALY,United States
Alta Flights (Charters) Ltd.,,ALZ,Canada
Air Sunshine,,RSI,United States
ATMA,,AMA,Kazakhstan
Aerolineas Medellin,,AMD,Colombia
Ameriflight,,AMF,United States
Air Libert,VD,,France
Air Lithuania,TT,KLA,Lithuania
Air Minas Linhas A,,AMG,Brazil
Alan Mann Helicopters Ltd.,,AMH,United Kingdom
Air Maldives,,AMI,Maldives
Aviation Amos,,AMJ,Canada
Amerer Air,,AMK,Austria
Air Malawi,QM,AML,Malawi
Aeroputul International Marculesti,,AMM,Moldova
Air Montenegro,,AMN,Montenegro
Air Montreal (Air Holdings Inc.),,AMO,Canada
Aero Transporte S.A. (ATSA),,AMP,Peru
Aeromedicare Ltd.,,AMQ,United Kingdom
Air Sicilia,BM,,Italy
Air Specialties Corporation,,AMR,United States
Air Muskoka,,AMS,Canada
ATA Airlines,,AMT,United States
Air Macau,NX,AMU,Macao
AMC Airlines,,AMV,Egypt
Air Midwest,ZV,AMW,United States
Air Seychelles,HM,SEY,Seychelles
Air Sofia,,SFB,Bulgaria
AeroMéxico,AM,AMX,Mexico
Air Ambar,,AMY,Dominican Republic
Amiya Airline,,AMZ,Nigeria
All Nippon Airways,NH,ANA,Japan
Air Navigation And Trading Co. Ltd.,,ANB,United Kingdom
Anglo Cargo,,ANC,United Kingdom
Air Nostrum,YW,ANE,Spain
Air Niugini,PX,ANG,Papua New Guinea
Air Arabia,G9,ABY,United Arab Emirates
Air Canada,AC,ACA,Canada
Airport Bratsk,,BRP,Russia
Air Wings,,BSB,Moldova
Air Baltic,BT,BTI,Latvia
Alajnihah for Air Transport,,ANH,Libya
Air Atlantic (Nig) Limited,,ANI,Nigeria
Air Nippon,EL,ANK,Japan
Antares Airtransport,,ANM,ANTARES
Airnorth,TL,ANO,Australia
Aerol,,ANQ,Colombia
Andes Lineas Aereas,,ANS,Argentina
Air North Charter - Canada,4N,ANT,Canada
Air Nevada,,ANV,United States
AOM French Airlines,IW,AOM,France
Aviacion Del Noroeste,,ANW,AVINOR
Air New Zealand,NZ,ANZ,New Zealand
Avia Jaynar,,SAP,Kazakhstan
Aero Servicios Empresariales,,EMS,Mexico
Alcon Servicios Aereos,,AOA,ALCON
AVCOM,J6,AOC,Russia
Aero Vodochody,,AOD,Czech Republic
Air One Executive,,AOE,Italy
Atair Pty Ltd.,,AOF,South Africa
Aero VIP,2D,AOG,Argentina
Aeromundo Ejecutivo,,MUN,Mexico
Aerolinea Muri,,MUR,Mexico
Astoria,,AOI,ASTORIA
Aero Rent JSC,,NRO,Russia
Aeronord-Grup,,NRP,Moldova
Aeroatlantico Colombia,,AOK,Colombia
Angkor Airlines,,AOL,Cambodia
Aero Entreprise,,AON,France
As,,AOO,COMPANY AS
Aeropiloto,,AOP,Portugal
Aeroenlaces Nacionales,,VIV,Mexico
Aerovis Airlines,,VIZ,Ukraine
Avjet International (FZE),,VJE,United Arab Emirates
Aerovista Gulf Express,,VGF,United Arab Emirates
Air Vegas,6V,VGA,United States
Almaver,,VER,Mexico
Afro International Ent. Limited,,AOR,Nigeria
Alitalia Express,XM,SMX,Italy
Asia Overnight Express,OE,AOT,Philippines
Air Tractor,,AOU,Croatia
Aero Vision,,AOV,France
Aerotaxi Del Valle,,AOX,Colombia
Air Park Aviation Ltd.,,APA,Canada
Airpac Airlines,,APC,AIRPAC
Aeroservicios Monterrey,,SVM,Mexico
Amapola Flyg AB,,APF,Sweden
Air People International,,APG,Thailand
Alpha Aviation,,APH,AIRFLIGHT
ASA Pesada,,API,ASA PESADA
Air Print,,APJ,AIR PRINT
Atlantic Airlines,,BJK,United States
Aerotransporte Petrolero,,PET,Colombia
Aero Flight,GV,ARF,Germany
ACM Aviation,,BJT,United States
Aircompany Barcol,,BKL,Russia
All Charter Limited,,BLA,United Kingdom
Appalachian Flying Service,,APL,APPALACHIAN
Airpac,,APM,ALASKA PACIFIC
Aeropro,,APO,Canada
Aerolineas Pacifico Atlantico,,APP,AEROPERLAS
Aspen Aviation,,APQ,United States
Aeropuma,,APU,AEROPUMA
Air Plan International,,APV,Democratic Republic of the Congo
Arrow Air,JW,APW,United States
Apex Air Cargo,,APX,United States
APA Internacional,,APY,Dominican Republic
Aeroatlas,,AQA,ATCO
Aquila Air Ltd.,,AQL,Canada
Air Queensland,,AQN,Australia
Aluminum Company Of America,,AQO,United States
Aviones de Renta de Quintana Roo,,AQT,AVIOQUINTANA
AirQuarius Aviation,,AQU,South Africa
Aerodyne Charter Company,,AQZ,United States
Arik Air,W3,ARA,Nigeria
Avia Air N.V.,,ARB,Aruba
Air Routing International Corp.,,ARC,United States
Aerocondor,2B,ARD,Portugal
Aires,4C,ARE, S.A.
Aerolineas Argentinas,AR,ARG,Argentina
Arrowhead Airways,,ARH,United States
Aero Vics,,ARI,Mexico
Aerojet de Costa Rica,,ARJ,
Antillana De Navegacion Aerea,,SUN,Dominican Republic
Aeroservicios De San Luis,,SUO,Mexico
Aerosuper,,SUP,Mexico
Aero Link Air Services S.L.,,ARK,Spain
Airlec - Air Aquitaine Transport,,ARL,France
Aeromarket Express,,ARM,Spain
Arrow Aviation Ltd.,,ARO,Canada
RPA-Aviataxi Ltd.,,ARP,Russia
Air Klaipeda,,KLD,Lithuania
Armstrong Air,,ARQ,ARMSTRONG
Air Armenia,QN,ARR,Armenia
Aeromet Servicios,,ARS,Chile
Aerotal Aerolineas Territoriales de Colombia Ltda,,ART,Colombia
Aravco Ltd.,,ARV,United Kingdom
Aria,,ARW,France
Air Xpress,,ARX,AIREX
Airline Alania,,OST,Russia
Air Tchad,,HTT,Chad
Aerloineas de Techuacan,,HUC,Mexico
Aerotransportes Huitzilin,,HUT,Mexico
Aero Transportes Del Humaya,,HUY,Mexico
Argosy Airways,,ARY,United States
Air Resorts,,ARZ,United States
Alaska Airlines,AS,ASA,ALASKA
Air-Spray 1967 Ltd.,,ASB,Canada
Air Star Corporation,,ASC,Canada
Air Sinai,4D,ASD,Egypt
Airstars,PL,ASE,Russia
Air Schefferville,,ASF,SCHEFF
African Star Airways (PTY) Ltd.,,ASG,South Africa
Aerosun International,,ASI,AEROSUN
Air Satellite,,ASJ,Canada
Awesome Flight Services (PTY) Ltd.,,ASM,South Africa
Air and Sea Transport,,ASN,Russia
Aero Slovakia,,ASO,Slovakia
Airsprint,,ASP,Canada
Atlantic Southeast Airlines,EV,ASQ,United States
All Star Airlines,,ASR,ALL STAR
Air Class,,ASS,AIR CLASS
Aerlineas Del Oeste,,AST,Mexico
Aviones Are,,NRE,Mexico
Air Nepal International,,NPL,Nepal
Air Napier,,NPR,New Zealand
Air Taxi & Cargo,,WAM,Sudan
Arrow Panama,,WAP,Panama
Astravia-Bissau Air Transports Ltd.,,ASV,Guinea-Bissau
Astrakhan Airlines,OB,ASZ,Russia
Air Transport Association,,ATA,United States
Atlantair Ltd.,,ATB,Canada
Air Tanzania,TC,ATC,Tanzania
Aerotours Dominicana,,ATD,Dominican Republic
Atlantis Transportation Services,,ATE,ATLANTIS CANADA
Aerotrans Airline,,ATG,Kazakhstan
Air Charter World,,XAC,United States
Air Burkina,2J,VBW,Burkina Faso
Air Travel Corp.,,ATH,United States
Aero-Tropics Air Services,HC,ATI,Australia
Air Traffic GmbH,,ATJ,Germany
AeroTACA,,ATK,Colombia
Aerocentral,,ATL,Mexico
Airlines Of Tasmania,FO,ATM,Australia
Air Saint Pierre,PJ,SPM,France
Air Transport International,8C,ATN,United States
ASTRAL Colombia - Aerotransportes Especiales Ltda.,,ATP,Colombia
Air Transport Schiphol,,ATQ,Netherlands
Aeroferinco,,FEO,Mexico
Aero Taxis Y Servicios Alfe,,FES,Mexico
Avialesookhrana,,FFA,Russia
Africair Service,,FFB,Senegal
Atlas Airlines,,ATR,United States
Air Transport Service,,ATS,Democratic Republic of the Congo
Aer Turas,,ATT,Ireland
Atlant Aerobatics Ltd.,,ATU,Hungary
Avanti Air,,ATV,Germany
Aero Trades (Western) Ltd.,,ATW,Canada
Austrian Airlines,OS,AUA,Austria
Air Southwest,,WOW,United Kingdom
Augsburg Airways,IQ,AUB,Germany
Air Corporate,,CPV,Italy
Aviastar-Tu,,TUP,Russia
AirBridge Cargo,RU,ABW,Russia
ATUR,,TUR,Ecuador
ATESA Aerotaxis Ecuatorianos,,TXU,Ecuador
Austin Express,,TXX,United States
Audi Air,,AUD,AUDI AIR
Augusta Air Luftfahrtunternehmen,,AUF,Germany
Abu Dhabi Amiri Flight,MO,AUH,United Arab Emirates
Aeroflot-Nord,5N,AUL,Russia
Air Atlantic Uruguay,,AUM,Uruguay
Aviones Unidos,,AUN,Mexico
Avia Business Group,,AUP,Russia
Aero Servicios Expecializados,,SVE,Mexico
Aurigny Air Services,GR,AUR,United Kingdom
Aus-Air,NO,AUS,Australia
Austral Lineas Aereas,AU,AUT,Argentina
Aurora Aviation,,AUU,AURORA AIR
Air Uganda International Ltd.,,AUX,Uganda
Aerolineas Uruguayas,,AUY,AUSA
Australian Airlines,AO,AUZ,Australia
Avianca - Aerovias Nacionales de Colombia,AV,AVA,AVIANCA
Aviation Beaufort,,AVB,United Kingdom
Alamo Aviacion,,AVD,ALAMO
Aviair Aviation Ltd.,,AVF,Canada
Air Falcon,,AVG,Djibouti
AV8 Helicopters,,AVH,United Kingdom
Avia Traffic Company,,AVJ,Kyrgyzstan
AV8 Helicopters,,AVK,South Africa
Aviacion Ejecutiva Mexicana,,AVM,AVEMEX
Air Vanuatu,NF,AVN,Vanuatu
Aviation at Work,,AVO,South Africa
Avcorp Registrations,,AVP,United Kingdom
Alfa Aerospace,,LFP,Australia
Atlantic Airfreight Aviation,,LFR,Sao Tome and Principe
Aerolift Company,,LFT,Sierra Leone
Aviation Services,,AVQ,AQUILINE
Active Aero Charter,,AVR,ACTIVE AERO
Avialsa T-35,,AVS,Spain
Asia Avia Airlines,,AVT,Indonesia
Avia Sud A,,AVU,France
Airvantage Incorporated,,AVV,United States
Aviator Airways,,AVW,Greece
Aviapaslauga,,AVX,Lithuania
ASL,,XXX,Belgium
Air Yugoslavia,,YRG,Serbia
Airlink Zambia,K8,ZAK,Zambia
Agence Nationale des Aerodromes et de la Meteorologie,,ZZM,Ivory Coast
Airbus Transport International,,BGA,France
Air Bangladesh,B9,BGD,Bangladesh
Aviodetachment-28,,BGF,Bulgaria
Aero BG,,BGG,Mexico
Aerotaxis De La Bahia,,BHC,Mexico
Air Mediterranee,DR,BIE,France
Aviaservice,,BIV,Georgia
Aerolineas De El Salvador,,SZA,El Salvador
Swaziland Airlink,,SZL,Swaziland
Air Moorea,,TAH,France
Aerovaradero,,AVY,AEROVARADERO
Air Valencia,,AVZ,Spain
Airways International,,AWB,AIRNAT
Airwork,,AWK,New Zealand
Australian Wetleasing,,AWL,Australia
Air Niamey,,AWN,Niger
Awood Air Ltd.,,AWO,Canada
Arctic Wings And Rotors Ltd.,,AWR,Canada
Auo Airclub AIST-M,,ISM,Russia
Arab Wings,,AWS,Jordan
Air West,,AWT,Canada
Aeroline GmbH,7E,AWU,Germany
Airwave Transport,,AWV,AIRWAVE
Air Wales,6G,AWW,United Kingdom
Aeroway,,AWY,AEROWEE
Air Caraïbes,TX,FWI,France
AirWest,,AWZ,Sudan
Air India Express,IX,AXB,India
Air Express,,AXD,Sudan
Asian Express Airlines,HJ,AXF,Australia
Aeromexhaga,,AXH,Mexico
Aeron International Airlines,,AXI,AIR FREIGHTER
African Express Airways,,AXK,Kenya
Air Exel,XT,AXL,Netherlands
AirAsia,AK,AXM,Malaysia
Alexandair,,AXN,Greece
Aeromax,,AXP,Spain
Action Airlines (Action Air Charter),,AXQ,United States
Alberni Airways,,BNI,Canada
Aerolineas Bonanza,,BNZ,Mexico
Aerobona,,BOC,Mexico
Aboitiz Air,,BOI,Philippines
Axel Rent,,AXR,RENTAXEL
Altus Airlines,,AXS,United States
Aviaxess,,AXV,France
Avioimpex A.D.p.o.,,AXX,Macedonia
Axis Airways,6V,AXY,France
Aladia Airlines,,AYD,Mexico
Aykavia Aircompany,,AYK,Armenia
Airman,,AYM,AIRMAN
Atlantic Airlines,,AYN,ATLANTIC NICARAGUA
Awsaj Aviation Services,,AYS,Libya
Ayeet Aviation & Tourism,,AYT,Israel
Atlant-Soyuz Airlines,3G,AYZ,Russia
Alitalia,AZ,AZA,Italy
Azamat,,AZB,Kazakhstan
Arcus-Air Logistic,ZE,AZE,Germany
Air Zermatt AG,,AZF,Switzerland
Azalhelikopter,,AZK,Azerbaijan
Africa One,,AZL,Zambia
Aerocozumel,,AZM,Mexico
Amaszonas,Z8,AZN,Bolivia
Arizona Pacific Airways,,AZP,United States
Aviacon Zitotrans Air Company,,AZS,Russia
Azimut,,AZT,AZIMUT
Azov Avia Airlines,,AZV,Ukraine
Air Zimbabwe,UM,AZW,Zimbabwe
Aero Jomacha,,MHC,Mexico
Air Memphis,,MHS,Egypt
Air Memphis,,MHU,Uganda
Air Marrakech Service,,MKH,Morocco
Air Max Africa,,AZX,Gabon
Arizona Airways,,AZY,ARIZAIR
Azza Transport,,AZZ,Sudan
Air Continental Inc,,NAR,United States
Antanik-Air,,NAU,Ukraine
Air Newark,,NER,United States
Aircraft Support and Services,,NFF,Lebanon
Aerobanana,,OBA,Mexico
Amako Airlines,,OBK,Nigeria
Aserca Airlines,R7,OCA,Venezuela
Afrique CArgo Service Senegal,,NFS,Senegal
Angoservice,,NGC,Angola
Angel Airlines,,NGE,Thailand
Angel Flight America,,NGF,United States
Air Atonabee,,OUL,Canada
Aero Nova,,OVA,Spain
Amira Air,,XPE,Austria
Aero Express Intercontinental,,XSS,Mexico
Advance Aviation Services,,XTJ,United States
Air Libya Tibesti,,TLR,Libya
Aerovic,,OVC,Ecuador
Airventure,,RVE,Belgium
Aero Servicios,,RVI,Mexico
Airvallee,,RVL,Italy
Aeromover,,OVE,Mexico
Aerovias Ejecutivas,,OVI,Mexico
Aero Servicio Pity,,PTD,Mexico
Aero Copter,,PTE,Mexico
Rossiya-Russian Airlines,FV,SDM,Russia
Air Pal,,PLL,Spain
Air Pullmantur,,PLM,Spain
Aviaexpress,RX,AEH,Hungary
Aviones Para Servirle,,PSG,Mexico
Avio Sluzba,,SLU,Serbia
Air Scorpio,,SCU,Bulgaria
Air Spirit,,SIP,United States
Alatau Airlines,,BMV,Kazakhstan
Aviateca,,GUG,Guatemala
Aroostook Aviation,,PXX,United States
Aeropycsa,,PYC,Mexico
Association of Private Pilots of Kazakhstan,,PVK,Kazakhstan
The Amiri Flight,,BAH,Bahrain
Aero Services,,BAS,Barbados
Ababeel Aviation,,BBE,Sudan
Air Bashkortostan,,BBT,Russia
Ambulance Air Africa,,MCY,South Africa
American Eagle Airlines,MQ,EGF,United States
Aeropuelche,,PUE,Chile
Aeroput,,PUT,Serbia
Azzurra Air,,AZI,Italy
Airshop,FF,,Netherlands
African Transport Trading and Investment Company,ML,,Sudan
AD Aviation,,VUE,United Kingdom
Aero Costa Taxi Aereo,,XCT,Mexico
Aerovitro,,VRO,Mexico
Aerotaxi Villa Rica,,VRI,Mexico
Aerovega,,VEG,Mexico
Aerovilla,,VVG,Colombia
Aerolineas Villaverde,,VLR,Mexico
Aero Air,,WIL,United States
Aero Ejecutivos,,VEJ,Venezuela
Aero Industries Inc,,WAB,United States
Aero Servicios Vanguardia,,VNG,Mexico
Aero Taxi Los Valles,,VAD,Spain
Aero Vilamoura,,VMR,Portugal
Aero Virel,,VLS,Mexico
Aeronautical Radio Inc,,XAA,United States
Aerovuelox,,VUO,Mexico
Aeronaves TSM,,VTM,Mexico
Air Ivoire,VU,VUN,Ivory Coast
Air Botswana,BP,BOT,Botswana
Air-Rep,,XPR,United States
Air Excel,,XLL,Tanzania
Air Evans,,VAE,Spain
Air Sorel,,WHY,Canada
Air Net Private Charter,,WDR,United States
Air Executive Charter,,XEC,Germany
Air Foyle,GS,UPA,United Kingdom
Air Midwest,,VTY,Nigeria
Air Tahiti,VT,VTA,French Polynesia
Air Urga,3N,URG,Ukraine
Air Vardar,,VDR,Macedonia
Air VIA,VL,VIM,Bulgaria
Air Walser,,WLR,Italy
Aircompany Rosavia,,URA,Ukraine
Aircraft Performance Group,,XLB,United States
Airwaves Airlink,,WLA,Zambia
Airways Corporation of New Zealand,,XFX,New Zealand
Airways,,WAY,France
Airwings oy,,WGS,Finland
Airkenya,,XAK,Kenya
Air-Lift Associates,,WPK,United States
Airtrans Ltd,,VAB,Russia
